seed,generation,best_fitness,mean_fitness
3,36,-132.0471,-133.0346
3,37,-132.0471,-132.9787
3,38,-132.0471,-133.1518
3,39,-132.0471,-133.0006
3,40,-132.0471,-132.9129
3,41,-132.0471,-133.4313
3,42,-132.0471,-133.0368
3,43,-132.0471,-132.8158
3,44,-132.0471,-133.2753
3,45,-132.0278,-132.6315
3,46,-131.9584,-132.7549
3,47,-131.9584,-132.8716
3,48,-131.9584,-133.2078
3,49,-131.9584,-133.0578
3,50,-131.9584,-132.9998
3,51,-131.9584,-133.1374
3,52,-131.9584,-133.0237
3,53,-131.9584,-133.0113
3,54,-131.9584,-133.2653
3,55,-131.9584,-133.0139
3,56,-131.9584,-133.2265
3,57,-131.9584,-133.0115
3,58,-131.9584,-133.1649
3,59,-131.9584,-132.8962
3,60,-131.9584,-132.7848
3,61,-131.9584,-132.9222
3,62,-131.9584,-133.2362
3,63,-131.9584,-132.8392
3,64,-131.9584,-133.4343
3,65,-131.9584,-132.8831
3,66,-131.9533,-132.9490
3,67,-131.9533,-132.7874
3,68,-131.9533,-133.1349
3,69,-131.9533,-133.0856
3,70,-131.9533,-133.0308
3,71,-131.9533,-132.7635
3,72,-131.9533,-132.8356
3,73,-131.9533,-132.9635
3,74,-131.9533,-133.0104
3,75,-131.9533,-133.6427
3,76,-131.9533,-133.0898
3,77,-131.9533,-133.1741
3,78,-131.9533,-133.3440
3,79,-131.9533,-133.1375
3,80,-131.9533,-132.8048
3,81,-131.9533,-133.1488
3,82,-131.9533,-132.7881
3,83,-131.9533,-133.0226
3,84,-131.9533,-133.0366
3,85,-131.9533,-132.9537
3,86,-131.9533,-133.0387
